Year,Sport,ScramName,Class,Height,Weight
2008,Baseball,abeennnrrry,Freshman,71,180
2008,Baseball,aacdeijlost,Junior,74,190
2008,Baseball,aeeglmnort,Sophomore,69,170
2008,Baseball,acefhiinnnrrs,Junior,71,175
2008,Baseball,bbeegorrrrtu,Junior,79,220
2008,Baseball,abdejlnnnoorssy,Senior,75,200
2008,Baseball,aadeklmnorrw,Sophomore,75,215
2008,Baseball,ahkloorrsuy,Sophomore,72,160
2008,Baseball,ailllnnvyy,Sophomore,72,190
2008,Baseball,aadfgghlnnoorrrsstty,Junior,78,230
2008,Baseball,adgilptuw,Freshman,74,175
2008,Baseball,egglnorsy,Freshman,76,200
2008,Baseball,adeeegmny,Sophomore,73,190
2008,Baseball,eeehhilmnpsst,Junior,75,215
2008,Baseball,adeemnoorrw,Sophomore,74,205
2008,Baseball,aceehiillnr,Freshman,76,185
2008,Baseball,acdhimmsttt,Freshman,70,165
2008,Baseball,acefhnopprsst,Senior,74,190
2008,Baseball,cehilrstuz,Freshman,76,190
2008,Baseball,aehhimmstttw,Junior,74,208
2008,Baseball,aadeilnsstvy,Senior,70,190
2008,Baseball,aillnorstttw,Sophomore,76,195
2008,Baseball,ceeehinrsswy,Junior,74,205
2008,Baseball,abchklooostwyz,Freshman,69,175
2008,Baseball,achhilrssw,Senior,74,195
2008,Baseball,aeglnouxy,Sophomore,76,195
2009,Baseball,aeillrrsty,Junior,73,200
2009,Baseball,aceimqrssu,Freshman,67,150
2009,Baseball,acffhhjorss,Freshman,70,195
2009,Baseball,chiiiiknprssw,Freshman,71,170
2009,Baseball,aaaelmnnrvy,Freshman,75,160
2009,Baseball,'aceehhhiooprrrst,Freshman,75,195
2009,Baseball,abceeklnnor,Freshman,78,225
2009,Baseball,abhkoorrt,Junior,77,220
2009,Baseball,aadfgghlnnoorrrsstty,Senior,78,240
2010,Baseball,bcefilooorr,Freshman,72,170
2010,Baseball,aacceehillmmno,Freshman,78,210
2010,Baseball,aefiknnoorttuv,Freshman,75,190
2010,Baseball,aacehlnnos,Freshman,71,175
2010,Baseball,acddehiikvy,Freshman,76,215
2010,Baseball,abcehjnortu,Freshman,73,175
2011,Baseball,abbdeilnorrtw,Fr.,75,215
2011,Baseball,abceeegllmnpr,Fr.,74,180
2011,Baseball,ceehhiirs,Fr.,72,175
2011,Baseball,beehjnops,Fr.,73,195
2011,Baseball,abeijklnosu,Fr.,75,195
2011,Baseball,'aaeelnorty,Fr.,74,215
2011,Baseball,addiopstuv,Fr.,69,170
2012,Baseball,aaademnst,Fr.,69,165
2012,Baseball,accehkloors,So.,75,210
2012,Baseball,aachhilmnrs,Fr.,75,185
2012,Baseball,abelnnorstw,Fr.,71,175
2012,Baseball,acehimorsst,Fr.,77,220
2012,Baseball,'eillmnoot,Fr.,75,190
2012,Baseball,aeeejkmnoss,Jr.,73,165
2013,Baseball,bdeeknorrw,Fr.,71,165
2013,Baseball,acdefhnors,Fr.,75,215
2013,Baseball,aadeeehnrrrrw,Fr.,70,180
2013,Baseball,acceeehhllos,Fr.,75,195
2013,Baseball,aacccijklmnnos,Fr.,75,215
2013,Baseball,accddghillmouuv,Fr.,72,175
2013,Baseball,acdeehiklnrrrs,Fr.,70,190
2013,Baseball,aehhiinorrstw,Fr.,69,170
2014,Baseball,abceeinry,Jr.,75,190
2014,Baseball,abeloosx,Fr.,70,170
2014,Baseball,bcdeiikoorrtwz,Fr.,74,205
2014,Baseball,acdelnnrtuy,Fr.,75,190
2014,Baseball,aikkkmnoossuw,Fr.,74,200
2014,Baseball,ddmortuy,Fr.,75,185
2014,Baseball,cdeorsttw,Fr.,75,195
2014,Baseball,aeeiikklmpsy,Fr.,74,200
2015,Baseball,abeimoss,Fr.,73,215
2015,Baseball,adegimrtw,Fr.,70,170
2015,Baseball,deffgiinry,Fr.,73,210
2015,Baseball,efllmortu,Fr.,71,170
2015,Baseball,aaabikmmnrru,Fr.,71,170
2015,Baseball,ciloopstttz,Fr.,74,200
2015,Baseball,abeegnnnrwy,Fr.,75,190
2015,Baseball,aehiimmnnostw,Fr.,70,170
2016,Baseball,aehiimmnnostw,So.,70,165
2016,Baseball,adegimrtw,So.,70,160
2016,Baseball,aeeiikklmpsy,Jr.,74,215
2016,Baseball,aaaaddiikot,Fy.,68,155
2016,Baseball,aehhiinorrstw,Sr.,71,175
2016,Baseball,abeloosx,Jr.,70,175
2016,Baseball,aadeeehnrrrrw,Sr.,71,190
2016,Baseball,aabiinnorr,Fy.,76,205
2016,Baseball,acdeehiklnrrrs,Sr.,71,200
2016,Baseball,bbbcceeeory,Fy.,71,185
2016,Baseball,efllmortu,So.,71,175
2016,Baseball,aaabikmmnrru,So.,71,175
2016,Baseball,aeeegillrstx,Fy.,72,185
2016,Baseball,adefloprrssty,Fy.,74,185
2016,Baseball,acceeehhllos,Sr.,75,210
2016,Baseball,bcdeiikoorrtwz,Jr.,74,220
2016,Baseball,bdeeknorrw,Sr.,71,170
2016,Baseball,acdelnnrtuy,Jr.,75,205
2016,Baseball,aacccijklmnnos,Sr.,76,230
2016,Baseball,ddmortuy,Jr.,75,200
2016,Baseball,abeegnnnrwy,So.,75,220
2016,Baseball,aeghimopsst,Fy.,72,190
2016,Baseball,abeimoss,So.,73,200
2016,Baseball,deffgiinry,So.,74,220
2016,Baseball,aikkkmnoossuw,Jr.,74,215
2016,Baseball,ciloopstttz,So.,74,205
2016,Baseball,cdeorsttw,Jr.,75,195
2016,Baseball,aegijnrstu,Fy.,76,225
2003,Basketball,aaabiijmnoorsst,Fr.,79,225
2003,Basketball,aaddeghinnruw,Jr.,77,190
2003,Basketball,acdeffgilostt,Sr.,78,215
2003,Basketball,aaabeglmox,Jr.,72,185
2003,Basketball,beeegghjnorrs,So.,67,170
2003,Basketball,hhijllos,Jr.,79,225
2003,Basketball,aceeghhssuy,Fr.,78,195
2003,Basketball,aaaklmnps,Fr.,79,225
2003,Basketball,aeklmorttv,Jr.,78,215
2003,Basketball,acdiiikmmnnort,Jr.,82,240
2003,Basketball,affimmnott,Sr.,78,225
2003,Basketball,iijmnnosstu,Sr.,81,230
2003,Basketball,adeehprstuwx,So.,79,235
2003,Basketball,aeiilllptuv,Sr.,80,208
2003,Basketball,aaehjntuw,So.,78,230
2003,Basketball,aabiiilllmssw,Sr.,72,165
2004,Basketball,acefilort,Fr.,73,185
2004,Basketball,abceehllmos,Fr.,78,205
2004,Basketball,cehiklmnos,Fr.,78,205
2004,Basketball,aeklmtty,Fr.,83,240
2005,Basketball,acdehinrrssw,Fr.,69,155
2005,Basketball,abeeegginrrr,Fr.,73,180
2005,Basketball,imnoorrss,Fr.,79,225
2005,Basketball,aciiiknprstv,Fr.,79,210
2005,Basketball,deehitw,Fr.,75,190
2005,Basketball,adeiimnrttw,Fr.,79,195
2006,Basketball,adhijossv,Fr.,80,215
2006,Basketball,abdgijnnoors,Fr.,77,195
2006,Basketball,aellnnopsu,Fr.,82,230
2006,Basketball,aaeeilmprxz,Fr.,75,185
2007,Basketball,abeelloprrrstw,Fr.,72,185
2007,Basketball,addeefgilrrrtt,Fr.,81,235
2007,Basketball,aaaffiillmnrt,Fr.,75,180
2007,Basketball,aacdehilmnss,Fr.,79,230
2008,Basketball,adeehnnorrstt,Freshman,80,215
2008,Basketball,aabiknrtz,Freshman,76,190
2008,Basketball,aaegggmnnor,Freshman,82,240
2008,Basketball,abdennoorrs,Senior,75,205
2008,Basketball,eeegghiiillrtw,Freshman,76,194
2009,Basketball,adeehnnorrstt,So.,80,230
2009,Basketball,aacceeghilmr,Fr.,72,180
2009,Basketball,aaimmnrst,Fr.,75,195
